STEP ACCRATIO <dR> <dR2> <ENERGY>
129 0.346154 -0.0197262 0.00569356 0.202929
130 0.343511 -0.0196526 0.00565087 0.201407
131 0.348485 -0.0195542 0.0056084 0.199894
132 0.353383 -0.0193787 0.00556634 0.198394
133 0.350746 -0.0192057 0.00552491 0.196918
134 0.348148 -0.0190353 0.00548409 0.195463
135 0.345588 -0.0188675 0.00544387 0.194029
136 0.343066 -0.018702 0.00540424 0.192617
137 0.347826 -0.0186827 0.00536694 0.191288
138 0.352518 -0.0184224 0.00533053 0.18999
139 0.357143 -0.0179771 0.00530624 0.189124
140 0.361702 -0.0176124 0.00527654 0.188065
141 0.359155 -0.0172528 0.00524725 0.187022
142 0.356643 -0.0168983 0.00521838 0.185993
143 0.354167 -0.0165487 0.00518991 0.184978
144 0.351724 -0.016204 0.00516183 0.183977
145 0.356164 -0.0162039 0.00512827 0.182781
146 0.360544 -0.0158377 0.00510301 0.181881
147 0.364865 -0.01567 0.00506908 0.180671
148 0.362416 -0.0155044 0.0050356 0.179478
149 0.36 -0.0153411 0.00500257 0.178301
150 0.357616 -0.0151799 0.00496998 0.177139
151 0.355263 -0.0150209 0.00493781 0.175993
152 0.352941 -0.0148639 0.00490607 0.174861
153 0.357143 -0.0146356 0.00487689 0.173821
154 0.354839 -0.0144102 0.00484808 0.172795
155 0.352564 -0.0141876 0.00481965 0.171781
156 0.356688 -0.0141115 0.00478898 0.170688
157 0.35443 -0.0140363 0.0047587 0.169609
158 0.352201 -0.013962 0.00472881 0.168543
159 0.35625 -0.0138109 0.0046999 0.167513
160 0.354037 -0.0136617 0.00467136 0.166496
161 0.358025 -0.0135319 0.00464286 0.16548
162 0.361963 -0.0134189 0.00461452 0.16447
163 0.365854 -0.0132662 0.00458721 0.163496
164 0.363636 -0.0131154 0.00456022 0.162535
165 0.36747 -0.0130737 0.00453298 0.161564
166 0.365269 -0.0130326 0.00450607 0.160605
167 0.363095 -0.012992 0.00447948 0.159657
168 0.366864 -0.0128219 0.00445444 0.158764
169 0.364706 -0.0126538 0.0044297 0.157883
170 0.362573 -0.0124877 0.00440524 0.157011
171 0.366279 -0.0124175 0.00437963 0.156098
172 0.364162 -0.0123481 0.00435432 0.155196
173 0.367816 -0.01228 0.0043293 0.154304
174 0.371429 -0.0121737 0.00430478 0.15343
175 0.369318 -0.0120686 0.00428055 0.152567
176 0.367232 -0.0119648 0.00425659 0.151713
177 0.365169 -0.0118621 0.0042329 0.150868
178 0.363128 -0.0117605 0.00420948 0.150034
179 0.361111 -0.0116601 0.00418632 0.149208
180 0.359116 -0.0115608 0.00416341 0.148391
181 0.357143 -0.0114626 0.00414075 0.147584
182 0.355191 -0.0113654 0.00411834 0.146785
183 0.358696 -0.0111937 0.00409818 0.146067
184 0.356757 -0.0110238 0.00407824 0.145356
185 0.354839 -0.0108558 0.00405852 0.144653
186 0.358289 -0.010821 0.00403692 0.143883
187 0.356383 -0.0107866 0.00401554 0.143121
188 0.359788 -0.0107515 0.00399439 0.142367
189 0.357895 -0.0107167 0.00397346 0.141621
190 0.356021 -0.0106824 0.00395274 0.140883
191 0.354167 -0.0106484 0.00393225 0.140152
192 0.352332 -0.0106147 0.00391196 0.139429
193 0.350515 -0.0105814 0.00389189 0.138714
194 0.348718 -0.0105484 0.00387202 0.138006
195 0.346939 -0.0105158 0.00385235 0.137305
196 0.345178 -0.0104835 0.00383288 0.136611
197 0.343434 -0.0104515 0.00381361 0.135924
198 0.341709 -0.0104199 0.00379453 0.135244
199 0.34 -0.0103885 0.00377565 0.134571
200 0.338308 -0.0103575 0.00375695 0.133904
201 0.336634 -0.0103268 0.00373843 0.133245
202 0.339901 -0.0102953 0.00372009 0.132591
203 0.338235 -0.0102641 0.00370193 0.131944
204 0.341463 -0.0100674 0.00368828 0.131457
205 0.339806 -0.00987266 0.00367476 0.130975
206 0.338164 -0.00967979 0.00366137 0.130498
207 0.336538 -0.00948877 0.00364811 0.130025
208 0.339713 -0.00941 0.00363089 0.129411
209 0.342857 -0.00942481 0.00361434 0.128822
210 0.341232 -0.00943947 0.00359796 0.128238
211 0.339623 -0.00945399 0.00358173 0.127659
212 0.342723 -0.00937751 0.00356513 0.127068
213 0.345794 -0.00948259 0.00355321 0.126643
214 0.344186 -0.0095867 0.00354141 0.126222
215 0.342593 -0.00968984 0.00352972 0.125806
216 0.341014 -0.00979203 0.00351813 0.125393
217 0.344037 -0.009659 0.00350368 0.124878
218 0.342466 -0.00952718 0.00348937 0.124368
219 0.340909 -0.00939655 0.00347519 0.123862
220 0.339367 -0.00926711 0.00346113 0.123361
221 0.337838 -0.00913884 0.0034472 0.122865
222 0.336323 -0.00901172 0.0034334 0.122373
223 0.339286 -0.00896772 0.00341808 0.121826
224 0.337778 -0.00892412 0.00340289 0.121285
225 0.340708 -0.00900102 0.00339089 0.120858
226 0.339207 -0.00907724 0.003379 0.120434
227 0.337719 -0.00915279 0.00336722 0.120014
228 0.340611 -0.00907087 0.00335291 0.119504
229 0.343478 -0.00907148 0.00333871 0.118998
230 0.341991 -0.00907208 0.00332462 0.118496
231 0.340517 -0.00907267 0.00331066 0.117998
232 0.343348 -0.00890648 0.00330022 0.117626
233 0.346154 -0.00899903 0.00329011 0.117265
234 0.344681 -0.00909079 0.00328008 0.116908
235 0.34322 -0.00918177 0.00327014 0.116554
236 0.341772 -0.00927198 0.00326028 0.116202
237 0.340336 -0.00936143 0.00325051 0.115854
238 0.338912 -0.00945014 0.00324082 0.115509
239 0.341667 -0.00932911 0.00322891 0.115084
240 0.344398 -0.0093759 0.00321728 0.11467
241 0.347107 -0.00930974 0.00320417 0.114202
242 0.349794 -0.00906772 0.00320106 0.114092
243 0.352459 -0.00916263 0.0031922 0.113776
244 0.355102 -0.00904513 0.00318074 0.113367
245 0.353659 -0.00892859 0.00316938 0.112962
246 0.356275 -0.00887872 0.00315659 0.112507
247 0.354839 -0.00882925 0.00314391 0.112055
248 0.353414 -0.00878017 0.00313133 0.111606
249 0.356 -0.00883331 0.00312075 0.111229
250 0.354582 -0.00888603 0.00311026 0.110855
251 0.353175 -0.00893832 0.00309985 0.110484
252 0.355731 -0.00885402 0.0030882 0.110069
253 0.354331 -0.00877038 0.00307665 0.109657
254 0.352941 -0.00868739 0.00306519 0.109249
255 0.351562 -0.00860506 0.00305381 0.108843
256 0.350195 -0.00852336 0.00304253 0.108441
257 0.348837 -0.0084423 0.00303133 0.108042
258 0.34749 -0.00836187 0.00302022 0.107646
259 0.346154 -0.00828205 0.00300919 0.107253
260 0.344828 -0.00820284 0.00299825 0.106863
261 0.343511 -0.00812424 0.00298739 0.106476
262 0.342205 -0.00804624 0.00297662 0.106092
263 0.340909 -0.00796883 0.00296593 0.105711
264 0.343396 -0.00781652 0.00295869 0.105453
265 0.342105 -0.00766537 0.00295151 0.105197
266 0.340824 -0.00751534 0.00294439 0.104943
267 0.343284 -0.00756604 0.00293507 0.104611
268 0.345725 -0.0075363 0.00292415 0.104222
269 0.348148 -0.0074492 0.00291427 0.10387
270 0.346863 -0.00736275 0.00290446 0.10352
271 0.345588 -0.00727693 0.00289472 0.103173
272 0.344322 -0.00719174 0.00288505 0.102828
273 0.343066 -0.00710717 0.00287545 0.102486
274 0.341818 -0.00702322 0.00286593 0.102147
275 0.34058 -0.00693987 0.00285647 0.10181
276 0.33935 -0.00685713 0.00284708 0.101475
277 0.341727 -0.0068075 0.00283701 0.101116
278 0.340502 -0.00675822 0.00282701 0.10076
279 0.339286 -0.0067093 0.00281709 0.100406
280 0.338078 -0.00666073 0.00280724 0.100055
281 0.340426 -0.00665613 0.00279738 0.0997038
282 0.339223 -0.00665158 0.0027876 0.0993551
283 0.338028 -0.00664705 0.00277789 0.0990089
284 0.336842 -0.00664256 0.00276824 0.0986651
285 0.335664 -0.00663809 0.00275866 0.0983237
286 0.334495 -0.00663366 0.00274915 0.0979847
287 0.336806 -0.00664843 0.00274002 0.0976591
288 0.3391 -0.00671347 0.00273278 0.0974011
289 0.337931 -0.00677807 0.00272558 0.0971448
290 0.33677 -0.00684222 0.00271844 0.0968903
291 0.339041 -0.00682119 0.00270914 0.0965585
292 0.341297 -0.00688565 0.00270215 0.0963094
293 0.343537 -0.00690364 0.00269346 0.0959998
294 0.342373 -0.0069215 0.00268483 0.0956922
295 0.341216 -0.00693925 0.00267626 0.0953868
296 0.340067 -0.00695687 0.00266775 0.0950834
297 0.338926 -0.00697438 0.00265929 0.0947821
298 0.337793 -0.00699177 0.0026509 0.0944827
299 0.336667 -0.00700904 0.00264255 0.0941854
300 0.335548 -0.0070262 0.00263427 0.09389
301 0.334437 -0.00704324 0.00262603 0.0935966
302 0.333333 -0.00706018 0.00261786 0.0933052
303 0.332237 -0.007077 0.00260973 0.0930156
304 0.331148 -0.00709371 0.00260166 0.092728
305 0.330065 -0.00711031 0.00259364 0.0924422
306 0.332248 -0.0069709 0.00258934 0.092289
307 0.334416 -0.00684044 0.00258452 0.0921169
308 0.33657 -0.0069135 0.00257895 0.0919186
309 0.33871 -0.00692824 0.00257106 0.0916373
310 0.337621 -0.00694288 0.00256322 0.0913577
311 0.336538 -0.00695743 0.00255542 0.09108
312 0.335463 -0.00697189 0.00254768 0.090804
313 0.334395 -0.00698626 0.00253999 0.0905298
314 0.336508 -0.0069449 0.00253204 0.0902465
315 0.335443 -0.00690381 0.00252414 0.0899651
316 0.334385 -0.00686298 0.0025163 0.0896854
317 0.333333 -0.0068224 0.0025085 0.0894074
318 0.332288 -0.00678208 0.00250075 0.0891312
319 0.33125 -0.00674201 0.00249305 0.0888568
320 0.333333 -0.00674206 0.00248542 0.088585
321 0.335404 -0.00672286 0.00247771 0.0883099
322 0.337461 -0.00672608 0.00247022 0.0880432
323 0.33642 -0.00672928 0.00246278 0.0877781
324 0.335385 -0.00673246 0.00245539 0.0875146
325 0.334356 -0.00673563 0.00244804 0.0872527
326 0.333333 -0.00673877 0.00244074 0.0869925
327 0.332317 -0.00674189 0.00243348 0.0867338
328 0.331307 -0.006745 0.00242627 0.0864767
329 0.330303 -0.00674808 0.0024191 0.0862212
330 0.329305 -0.00675115 0.00241197 0.0859672
331 0.328313 -0.0067542 0.00240489 0.0857147
332 0.33033 -0.00672192 0.00239772 0.085459
333 0.329341 -0.00668984 0.00239059 0.0852048
334 0.328358 -0.00665794 0.0023835 0.0849522
335 0.330357 -0.00659435 0.00237705 0.0847223
336 0.332344 -0.00650552 0.00237161 0.0845285
337 0.331361 -0.00641722 0.00236621 0.0843359
338 0.330383 -0.00632944 0.00236083 0.0841444
339 0.332353 -0.00628184 0.00235418 0.0839071
340 0.331378 -0.00623452 0.00234756 0.0836712
341 0.330409 -0.00618748 0.00234098 0.0834366
342 0.329446 -0.00614071 0.00233443 0.0832035
343 0.328488 -0.00609422 0.00232793 0.0829717
344 0.327536 -0.00604799 0.00232146 0.0827412
345 0.32659 -0.00600203 0.00231504 0.0825121
346 0.32853 -0.00593962 0.00230907 0.0822994
347 0.327586 -0.00587758 0.00230314 0.082088
348 0.326648 -0.00581589 0.00229724 0.0818779
349 0.328571 -0.00583897 0.00229123 0.0816636
350 0.327635 -0.00586192 0.00228525 0.0814505
351 0.326705 -0.00588474 0.00227931 0.0812387
352 0.325779 -0.00590743 0.0022734 0.081028
353 0.324859 -0.00593 0.00226752 0.0808186
354 0.323944 -0.00595243 0.00226168 0.0806103
355 0.323034 -0.00597474 0.00225587 0.0804032
356 0.32493 -0.00599947 0.00225016 0.0801999
357 0.324022 -0.00602405 0.00224449 0.0799976
358 0.32312 -0.00604851 0.00223885 0.0797966
359 0.322222 -0.00607282 0.00223324 0.0795966
360 0.32133 -0.006097 0.00222766 0.0793977
361 0.320442 -0.00612105 0.00222211 0.0792
362 0.319559 -0.00614496 0.00221659 0.0790033
363 0.318681 -0.00616874 0.0022111 0.0788077
364 0.320548 -0.0061013 0.00220598 0.078625
365 0.322404 -0.00602657 0.00220118 0.0784542
366 0.321526 -0.00595225 0.00219642 0.0782843
367 0.320652 -0.00587833 0.00219167 0.0781153
368 0.319783 -0.00580481 0.00218696 0.0779472
369 0.318919 -0.00573169 0.00218227 0.07778
370 0.320755 -0.0056173 0.00218002 0.0776998
371 0.322581 -0.00551911 0.00217673 0.0775825
372 0.324397 -0.00545256 0.00217189 0.0774101
373 0.323529 -0.00538636 0.00216708 0.0772386
374 0.322667 -0.00532051 0.00216229 0.0770681
375 0.321809 -0.00525502 0.00215753 0.0768985
376 0.320955 -0.00518987 0.0021528 0.0767297
377 0.320106 -0.00512507 0.00214809 0.0765619
378 0.319261 -0.0050606 0.00214341 0.0763949
379 0.318421 -0.00499648 0.00213875 0.0762288
380 0.32021 -0.00498316 0.00213313 0.0760288
381 0.319372 -0.00496991 0.00212755 0.0758297
382 0.318538 -0.00495672 0.00212199 0.0756317
383 0.317708 -0.00494361 0.00211647 0.0754348
384 0.316883 -0.00493056 0.00211097 0.0752388
385 0.316062 -0.00491758 0.0021055 0.0750439
386 0.315245 -0.00490467 0.00210006 0.07485
387 0.31701 -0.00488739 0.00209466 0.0746574
388 0.316195 -0.00487019 0.00208928 0.0744658
389 0.315385 -0.00485308 0.00208393 0.0742751
390 0.314578 -0.00483606 0.00207861 0.0740855
391 0.313776 -0.00481913 0.00207332 0.0738968
392 0.312977 -0.00480228 0.00206805 0.073709
393 0.312183 -0.00478552 0.00206281 0.0735223
394 0.313924 -0.00468427 0.00206072 0.073448
395 0.315657 -0.00463928 0.00205596 0.073278
396 0.31738 -0.00462684 0.00205078 0.0730935
397 0.319095 -0.00453996 0.00204788 0.0729901
398 0.320802 -0.00453215 0.00204275 0.0728074
399 0.32 -0.00452437 0.00203765 0.0726255
400 0.319202 -0.00451663 0.00203257 0.0724446
401 0.318408 -0.00450893 0.00202752 0.0722646
402 0.317618 -0.00450127 0.0020225 0.0720854
