0 1 0 -0.04 0 0.02 0.02
0.1 0.9998 -0.0039996 -0.039992 7.9984e-06 0.019992 0.02
0.2 0.9992 -0.0079976 -0.039968 3.19808e-05 0.019968 0.02
0.3 0.9982 -0.0119924 -0.039928 7.19088e-05 0.0199281 0.02
0.4 0.996802 -0.0159824 -0.0398721 0.000127719 0.0198723 0.02
0.5 0.995004 -0.019966 -0.0398002 0.000199321 0.0198007 0.02
0.6 0.992808 -0.0239416 -0.0397123 0.000286601 0.0197134 0.02
0.7 0.990216 -0.0279077 -0.0396086 0.00038942 0.0196105 0.02
0.8 0.987227 -0.0318626 -0.0394891 0.000507612 0.0194923 0.0199999
0.9 0.983843 -0.0358047 -0.0393537 0.000640989 0.0193589 0.0199999
1 0.980066 -0.0397325 -0.0392026 0.000789337 0.0192106 0.0199999
1.1 0.975897 -0.0436445 -0.0390359 0.000952419 0.0190475 0.0199999
1.2 0.971337 -0.0475389 -0.0388535 0.00112997 0.0188699 0.0199999
1.3 0.966389 -0.0514144 -0.0386556 0.00132172 0.0186781 0.0199999
1.4 0.961054 -0.0552693 -0.0384422 0.00152735 0.0184725 0.0199998
1.5 0.955335 -0.059102 -0.0382134 0.00174653 0.0182533 0.0199998
1.6 0.949234 -0.0629112 -0.0379693 0.00197891 0.0180209 0.0199998
1.7 0.942753 -0.0666952 -0.0377101 0.00222412 0.0177757 0.0199998
1.8 0.935895 -0.0704524 -0.0374358 0.00248177 0.017518 0.0199998
1.9 0.928662 -0.0741816 -0.0371465 0.00275145 0.0172483 0.0199997
2 0.921058 -0.077881 -0.0368423 0.00303273 0.016967 0.0199997
2.1 0.913086 -0.0815493 -0.0365234 0.00332514 0.0166745 0.0199997
2.2 0.904749 -0.085185 -0.0361899 0.00362824 0.0163714 0.0199996
2.3 0.896049 -0.0887866 -0.035842 0.00394153 0.0160581 0.0199996
2.4 0.886991 -0.0923526 -0.0354796 0.0042645 0.0157351 0.0199996
2.5 0.877579 -0.0958818 -0.0351031 0.00459666 0.0154029 0.0199995
2.6 0.867815 -0.0993726 -0.0347126 0.00493745 0.0150621 0.0199995
2.7 0.857704 -0.102824 -0.0343082 0.00528635 0.0147131 0.0199995
2.8 0.84725 -0.106234 -0.03389 0.00564278 0.0143567 0.0199994
2.9 0.836457 -0.109601 -0.0334583 0.00600618 0.0139932 0.0199994
3 0.82533 -0.112924 -0.0330132 0.00637597 0.0136234 0.0199994
3.1 0.813872 -0.116203 -0.0325549 0.00675156 0.0132478 0.0199993
3.2 0.802089 -0.119435 -0.0320836 0.00713234 0.0128669 0.0199993
3.3 0.789985 -0.122619 -0.0315994 0.00751771 0.0124815 0.0199992
3.4 0.777566 -0.125754 -0.0311026 0.00790704 0.0120922 0.0199992
3.5 0.764835 -0.128839 -0.0305934 0.00829973 0.0116994 0.0199992
3.6 0.751798 -0.131872 -0.0300719 0.00869513 0.011304 0.0199991
3.7 0.73846 -0.134853 -0.0295384 0.00909262 0.0109065 0.0199991
3.8 0.724827 -0.137779 -0.0289931 0.00949156 0.0105075 0.0199991
3.9 0.710904 -0.140651 -0.0284362 0.00989131 0.0101077 0.019999
4 0.696697 -0.143466 -0.0278679 0.0102912 0.00970774 0.019999
4.1 0.682211 -0.146224 -0.0272884 0.0106907 0.00930824 0.0199989
4.2 0.667452 -0.148923 -0.0266981 0.011089 0.00890985 0.0199989
4.3 0.652427 -0.151563 -0.0260971 0.0114856 0.00851321 0.0199989
4.4 0.63714 -0.154142 -0.0254856 0.0118799 0.00811894 0.0199988
4.5 0.621598 -0.156659 -0.0248639 0.0122711 0.00772769 0.0199988
4.6 0.605808 -0.159114 -0.0242323 0.0126587 0.00734007 0.0199987
4.7 0.589775 -0.161505 -0.023591 0.013042 0.0069567 0.0199987
4.8 0.573507 -0.163832 -0.0229403 0.0134205 0.0065782 0.0199987
4.9 0.557009 -0.166093 -0.0222804 0.0137934 0.00620518 0.0199986
5 0.540288 -0.168288 -0.0216115 0.0141604 0.00583823 0.0199986
5.1 0.523351 -0.170415 -0.0209341 0.0145206 0.00547794 0.0199985
5.2 0.506205 -0.172474 -0.0202482 0.0148736 0.00512488 0.0199985
5.3 0.488857 -0.174464 -0.0195543 0.0152189 0.00477962 0.0199985
5.4 0.471312 -0.176384 -0.0188525 0.0155557 0.00444271 0.0199984
5.5 0.45358 -0.178234 -0.0181432 0.0158837 0.00411469 0.0199984
5.6 0.435666 -0.180013 -0.0174266 0.0162023 0.00379609 0.0199984
5.7 0.417577 -0.181719 -0.0167031 0.0165109 0.00348742 0.0199983
5.8 0.399322 -0.183353 -0.0159729 0.0168092 0.00318916 0.0199983
5.9 0.380907 -0.184913 -0.0152363 0.0170965 0.0029018 0.0199983
6 0.362339 -0.1864 -0.0144936 0.0173725 0.00262579 0.0199983
6.1 0.343627 -0.187812 -0.0137451 0.0176367 0.00236159 0.0199982
6.2 0.324777 -0.189149 -0.0129911 0.0178886 0.0021096 0.0199982
6.3 0.305797 -0.19041 -0.0122319 0.018128 0.00187024 0.0199982
6.4 0.286695 -0.191595 -0.0114678 0.0183543 0.00164388 0.0199982
6.5 0.267478 -0.192703 -0.0106991 0.0185673 0.00143089 0.0199981
6.6 0.248154 -0.193734 -0.00992617 0.0187665 0.00123161 0.0199981
6.7 0.228731 -0.194688 -0.00914924 0.0189517 0.00104636 0.0199981
6.8 0.209216 -0.195564 -0.00836866 0.0191227 0.000875431 0.0199981
6.9 0.189618 -0.196362 -0.00758473 0.019279 0.000719102 0.0199981
