STEP ACCRATIO <dR> <dR2> <ENERGY>
12300 0.28266 0.00120991 0.000415493 0.0142759
12400 0.282316 0.00121686 0.00041385 0.0142307
12500 0.282937 0.00123798 0.000415938 0.0143308
12600 0.282517 0.00117065 0.000414395 0.0142899
12700 0.282497 0.00117461 0.000413409 0.0142698
12800 0.282009 0.0011776 0.000412762 0.0142626
12900 0.281994 0.00115319 0.000411525 0.0142324
13000 0.281824 0.00118662 0.000410864 0.014219
13100 0.281811 0.00118757 0.000409654 0.0141859
13200 0.281873 0.00111365 0.000408045 0.0141407
13300 0.282009 0.00112257 0.000406126 0.0140795
13400 0.281919 0.00109258 0.000405484 0.0140775
13500 0.281535 0.00107321 0.000406499 0.0141337
13600 0.281744 0.00103818 0.000406231 0.0141417
13700 0.281366 0.00103311 0.000404336 0.0140795
13800 0.281646 0.00105761 0.000403474 0.0140588
13900 0.281275 0.0010621 0.000403104 0.0140587
14000 0.28098 0.00105224 0.00040136 0.0140033
14100 0.28076 0.000994213 0.000400988 0.014006
14200 0.281177 0.00102078 0.00040111 0.0140233
14300 0.280889 0.00106125 0.00040036 0.0140043
14400 0.281647 0.00110632 0.000401257 0.0140493
14500 0.280946 0.00110207 0.00039896 0.0139715
14600 0.280803 0.00112949 0.000398171 0.0139491
14700 0.280797 0.00111156 0.000397383 0.0139327
14800 0.280724 0.001121 0.000396582 0.0139112
14900 0.280854 0.00112015 0.000396397 0.0139152
15000 0.281248 0.00113777 0.00039589 0.0139036
15100 0.281173 0.00115615 0.000394906 0.013874
15200 0.281297 0.00110867 0.000394769 0.0138851
15300 0.281223 0.00110672 0.000393754 0.0138556
15400 0.281151 0.00111411 0.000392831 0.0138295
15500 0.281401 0.0011089 0.000392557 0.0138327
15600 0.281713 0.00108596 0.000391642 0.0138098
15700 0.282148 0.00110671 0.000391295 0.0138042
15800 0.282704 0.00112785 0.000390592 0.0137873
15900 0.283567 0.00113589 0.000390276 0.0137857
16000 0.28367 0.00115776 0.000390471 0.0138038
16100 0.283771 0.00113325 0.000389909 0.0137929
16200 0.284489 0.00113188 0.000389527 0.0137901
16300 0.2844 0.00114086 0.000389706 0.0138079
16400 0.284434 0.00119561 0.000390649 0.0138487
16500 0.284528 0.00116902 0.000389988 0.0138328
16600 0.284983 0.00115579 0.000389376 0.013821
16700 0.284474 0.00114324 0.000389992 0.0138569
16800 0.284507 0.00111976 0.000390236 0.0138803
16900 0.284303 0.00112312 0.000390438 0.013895
17000 0.284042 0.00115897 0.000390212 0.0138916
17100 0.283434 0.0011326 0.000389839 0.0138884
17200 0.282949 0.00115501 0.000388758 0.0138531
17300 0.283394 0.00118184 0.000388458 0.0138484
17400 0.282972 0.00116763 0.000387388 0.0138146
17500 0.283412 0.00119132 0.000388229 0.0138551
17600 0.283279 0.0012119 0.000388413 0.0138666
17700 0.283769 0.00118825 0.000387869 0.013856
17800 0.283467 0.00119673 0.000386913 0.0138253
17900 0.283951 0.00120766 0.000386131 0.013802
18000 0.284151 0.00122033 0.000385842 0.0137964
18100 0.284017 0.00121569 0.000385648 0.0137968
18200 0.283886 0.00121407 0.000385615 0.0138038
18300 0.284083 0.00116772 0.000385242 0.0138005
18400 0.284169 0.00114026 0.000384656 0.0137889
